cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1496.B.35	Eph. 4:22			1	0		0			0			0		0	0	0	0	1	MC	NA28.597	
1496.B.9	Eph. 4:16		1	0	0		1	4	2	0			0		1	1	0	0	1	R1	NA28.597	
1497.A.28	Eph. 5:9	1		0	1	L	0			0			0		0	0	0	0	1	R1	NA28.598	
1497.B.18	Eph. 5:18-19			1	0		0			0			0		0	0	1	0	0			
1497.B.33	Eph. 5:23			1	0		0			0			0		0	0	0	0	0			
1497.B.34	Eph. 5:23b			1	0		0			0			0		0	0	0	0	1	A2	NA28.600	
1497.C.18	Eph. 5:29			1	0		0			0			0		0	0	0	0	0			
1497.C.6	Eph. 5:27	1		0	1	R	0			0			0		0	0	0	0	0			
1498.A.21	Eph. 6:7	1		0	1	L	0			0			0		0	0	0	0	1	O1	NA28.601	
1498.A.39	Eph. 6:11			1	0		0			0			0		0	0	0	0	0			
1498.A.5	Eph. 6:3		1	0	0		1	4	2	0			1	4	0	M	0	0	0			
1498.C.22	Eph. 6:24		0	1	0		1	4.5	2.5	0			1	48	0	1	0	0	1	A1	NA28.602	
1498.C.3	Eph. 6:20	1		0	1	L	0			0			0		1	0	0	0	1	A1/MC	NA28.602	
1499.B.14	Phil. 1:13	1		0	1	L	0			0			0		0	0	0	0	0			
1499.B.15	Phil. 1:13-14			1	0		0			0			0		1	0	1	0	0			
1499.B.6	Phil. 1:11-12		1	0	0		1	4.5	2.5	1	B	4.5	0		1	1	1	0	1	R1/T3	NA28.604	
1499.C.21	Phil. 1:25			1	0		0			0			0		0	0	0	0	0			
1500.A.15	Phil. 2:1	1		0	1	L	0			0			0		0	0	0	0	1	MC	NA28.605	
1500.A.34	Phil. 2:6			1	0		0			0			0		0	0	0	0	0			
1500.B.27	Phil. 2:14	1		0	1	L	0			0			0		0	0	0	0	0			
1500.C.24	Phil. 2:24-25	1	0	0	1	L	1	4	1.5	1	M	4.5	0		1	1	1	0	1	A2	NA28.607	evaluated by Payne
1500.C.5	Phil. 2:18-19		0	1	0		1	3	0	1	M	4	0		1	1	1	0	0			
1501.A.27	Phil. 3:3-4			1	0		0			0			0		1	0	1	0	0			
1501.B.42	Phil. 3:16-17	1		0	1	L	0			0			0		0	1	1	0	1	A5	NA28.609	
1501.C.10	Phil. 3:19			1	0		0			0			0		1	0	0	0	0			
1501.C.21	Phil. 3:21			1	0		0			0			0		0	0	0	0	0			
1502.A.15	Phil. 4:7-8		1	0	0		1	5.5	3	1	B	4.5	0		1	1	1	0	0			
1502.A.30	Phil. 4:10			1	0		0			0			0		1	0	0	0	0			
1502.A.31	Phil. 4:10b			1	0		0			0			0		1	0	0	0	0			
1502.B.42	Phil. 4:23	1		0	1	L	0			0			0		1	1	0	0	1	R2; A1	NA28.611	
1502.C.8	Col. 1:2	1		0	1	L	0			0			0		1	1	0	0	1	A6	NA28.612	
1503.A.16	Col. 1:11-12		1	0	0		1	5.5	2	0			0		1	0	1	0	1	A1	NA28.613	
1503.A.17	Col. 1:12	1		0	1	L	0			0			0		0	0	0	0	1	O1; A2; R1/A2	NA28.613	
1503.B.10	Col. 1:19	1		0	1	L	0			0			0		1	1	0	0	0			
1503.B.22	Col. 1:22			1	0		0			0			0		0	0	0	0	1	MC/R1	NA28.614	
1503.B.39	Col. 1:23-24	1		0	1	L	0			0			0		1	1	1	0	1	A4;R1	NA28.614	
1503.C.3	Col. 1:24			1	0		0			0			0		0	0	0	0	0			
1503.C.8	Col. 1:25			1	0		0			0			0		1	0	0	0	0			
1504.A.18	Col. 2:5-6		0	1	0		1	4.5	1.5	1	M	5	0		1	1	1	0	0			
1504.A.20	Col. 2:6	1		0	1	L	0			0			0		0	0	0	0	0			
